Group ID,Filename,Resolution,Duration (ms),Size (Bytes),Full Path
Group 50,ssstwitter.com_1760886303289.mp4,720x1280,609267,98426274,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1760886303289.mp4
Group 50,ssstwitter.com_1761231780889.mp4,720x1280,609267,98426274,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1761231780889.mp4
Group 50,ssstwitter.com_1761232209870.mp4,720x1280,609267,98426274,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1761232209870.mp4
Group 51,ssstwitter.com_1761118200107.mp4,1920x1080,679967,256599152,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1761118200107.mp4
Group 51,ssstwitter.com_1766066246788.mp4,1280x720,679967,131002856,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1766066246788.mp4
Group 52,ssstwitter.com_1761159970382.mp4,720x720,2277463,181306423,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1761159970382.mp4
Group 52,ssstwitter.com_1761816617876.mp4,720x720,2277463,181306423,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1761816617876.mp4
Group 53,ssstwitter.com_1761310093475.mp4,720x720,482797,48017193,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1761310093475.mp4
Group 53,ssstwitter.com_1761310125062.mp4,720x720,482797,48017193,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1761310125062.mp4
Group 54,ssstwitter.com_1761342712725.mp4,1280x720,1854937,211839767,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1761342712725.mp4
Group 54,ssstwitter.com_1763650846089.mp4,1280x720,1854937,211839767,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1763650846089.mp4
Group 54,ssstwitter.com_1777125360082.mp4,1280x720,1854937,211839767,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1777125360082.mp4
Group 55,ssstwitter.com_1761816248924.mp4,1280x720,3177920,501358744,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1761816248924.mp4
Group 55,ssstwitter.com_1773791567170.mp4,1280x720,3177920,501750427,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1773791567170.mp4
Group 56,ssstwitter.com_1763345711090.mp4,720x724,1776125,142794128,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1763345711090.mp4
Group 56,ssstwitter.com_1778371604294.mp4,720x724,1776208,151971964,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1778371604294.mp4
Group 57,ssstwitter.com_1763428252774.mp4,720x720,2257391,231725050,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1763428252774.mp4
Group 57,ssstwitter.com_1777843994065.mp4,720x720,2257553,218125593,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1777843994065.mp4
Group 58,ssstwitter.com_1764112513588.mp4,720x1280,14803,2480749,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1764112513588.mp4
Group 58,ssstwitter.com_1775080031944.mp4,720x1280,14803,2480749,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1775080031944.mp4
Group 59,ssstwitter.com_1765506567557.mp4,540x540,1931359,120530533,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1765506567557.mp4
Group 59,ssstwitter.com_1777844344114.mp4,640x640,1931392,170851009,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1777844344114.mp4
Group 60,ssstwitter.com_1765549796460.mp4,1080x1080,1512847,336696152,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1765549796460.mp4
Group 60,ssstwitter.com_1776204827132.mp4,1080x1080,1512847,336696152,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1776204827132.mp4
Group 60,ssstwitter.com_1778371809898.mp4,1080x1080,1512914,313537162,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1778371809898.mp4
Group 61,ssstwitter.com_1766568648445.mp4,960x720,2756187,254501835,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1766568648445.mp4
Group 61,ssstwitter.com_1766568846548.mp4,960x720,2756187,254501835,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1766568846548.mp4
Group 62,ssstwitter.com_1767403632526.mp4,1080x1080,29000,9806567,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1767403632526.mp4
